SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 50000, 'learning_rate': 'constant', 'eta0': 0.1}: 0.21774193548387097, 0.216
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 50000, 'learning_rate': 'optimal', 'eta0': 0.001}: 0.3548387096774194, 0.312
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 50000, 'learning_rate': 'optimal', 'eta0': 0.01}: 0.29838709677419356, 0.256
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 50000, 'learning_rate': 'optimal', 'eta0': 0.1}: 0.29838709677419356, 0.304
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 50000, 'learning_rate': 'adaptive', 'eta0': 0.001}: 0.29838709677419356, 0.336
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 50000, 'learning_rate': 'adaptive', 'eta0': 0.01}: 0.27419354838709675, 0.28
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 50000, 'learning_rate': 'adaptive', 'eta0': 0.1}: 0.27419354838709675, 0.304
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 100000, 'learning_rate': 'constant', 'eta0': 0.001}: 0.20967741935483872, 0.256
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 100000, 'learning_rate': 'constant', 'eta0': 0.01}: 0.25, 0.304
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 100000, 'learning_rate': 'constant', 'eta0': 0.1}: 0.3387096774193548, 0.408
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 100000, 'learning_rate': 'optimal', 'eta0': 0.001}: 0.29838709677419356, 0.32
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 100000, 'learning_rate': 'optimal', 'eta0': 0.01}: 0.2903225806451613, 0.224
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 100000, 'learning_rate': 'optimal', 'eta0': 0.1}: 0.3225806451612903, 0.264
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 100000, 'learning_rate': 'adaptive', 'eta0': 0.001}: 0.25806451612903225, 0.288
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 100000, 'learning_rate': 'adaptive', 'eta0': 0.01}: 0.25806451612903225, 0.28
