SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 50000, 'learning_rate': 'constant', 'eta0': 0.1}: 0.33064516129032256, 0.368
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 50000, 'learning_rate': 'optimal', 'eta0': 0.001}: 0.24193548387096775, 0.168
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 50000, 'learning_rate': 'optimal', 'eta0': 0.01}: 0.29838709677419356, 0.368
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 50000, 'learning_rate': 'optimal', 'eta0': 0.1}: 0.3870967741935484, 0.408
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 50000, 'learning_rate': 'adaptive', 'eta0': 0.001}: 0.29838709677419356, 0.32
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 50000, 'learning_rate': 'adaptive', 'eta0': 0.01}: 0.3064516129032258, 0.32
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 50000, 'learning_rate': 'adaptive', 'eta0': 0.1}: 0.33064516129032256, 0.312
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 100000, 'learning_rate': 'constant', 'eta0': 0.001}: 0.2903225806451613, 0.28
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 100000, 'learning_rate': 'constant', 'eta0': 0.01}: 0.31451612903225806, 0.336
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 100000, 'learning_rate': 'constant', 'eta0': 0.1}: 0.3467741935483871, 0.36
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 100000, 'learning_rate': 'optimal', 'eta0': 0.001}: 0.23387096774193547, 0.224
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 100000, 'learning_rate': 'optimal', 'eta0': 0.01}: 0.3467741935483871, 0.384
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 100000, 'learning_rate': 'optimal', 'eta0': 0.1}: 0.3225806451612903, 0.32
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 100000, 'learning_rate': 'adaptive', 'eta0': 0.001}: 0.31451612903225806, 0.296
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 100000, 'learning_rate': 'adaptive', 'eta0': 0.01}: 0.3225806451612903, 0.36
SGDClassifier {'penalty': 'l1', 'alpha': 0.0001, 'max_iter': 100000, 'learning_rate': 'adaptive', 'eta0': 0.1}: 0.3629032258064516, 0.312
SGDClassifier {'penalty': 'l1', 'alpha': 1e-05, 'max_iter': 100, 'learning_rate': 'constant', 'eta0': 0.001}: 0.2661290322580645, 0.216
SGDClassifier {'penalty': 'l1', 'alpha': 1e-05, 'max_iter': 100, 'learning_rate': 'constant', 'eta0': 0.01}: 0.3467741935483871, 0.328
SGDClassifier {'penalty': 'l1', 'alpha': 1e-05, 'max_iter': 100, 'learning_rate': 'constant', 'eta0': 0.1}: 0.3064516129032258, 0.208
SGDClassifier {'penalty': 'l1', 'alpha': 1e-05, 'max_iter': 100, 'learning_rate': 'optimal', 'eta0': 0.001}: 0.3225806451612903, 0.304
SGDClassifier {'penalty': 'l1', 'alpha': 1e-05, 'max_iter': 100, 'learning_rate': 'optimal', 'eta0': 0.01}: 0.2661290322580645, 0.256
SGDClassifier {'penalty': 'l1', 'alpha': 1e-05, 'max_iter': 100, 'learning_rate': 'optimal', 'eta0': 0.1}: 0.28225806451612906, 0.224
SGDClassifier {'penalty': 'l1', 'alpha': 1e-05, 'max_iter': 100, 'learning_rate': 'adaptive', 'eta0': 0.001}: 0.29838709677419356, 0.296
SGDClassifier {'penalty': 'l1', 'alpha': 1e-05, 'max_iter': 100, 'learning_rate': 'adaptive', 'eta0': 0.01}: 0.3064516129032258, 0.304
SGDClassifier {'penalty': 'l1', 'alpha': 1e-05, 'max_iter': 100, 'learning_rate': 'adaptive', 'eta0': 0.1}: 0.3629032258064516, 0.296
SGDClassifier {'penalty': 'l1', 'alpha': 1e-05, 'max_iter': 500, 'learning_rate': 'constant', 'eta0': 0.001}: 0.2661290322580645, 0.208
SGDClassifier {'penalty': 'l1', 'alpha': 1e-05, 'max_iter': 500, 'learning_rate': 'constant', 'eta0': 0.01}: 0.25806451612903225, 0.28
